"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,안읽음
"전체",소계,6000,40.7,59.3
"성별",남성,2991,40.4,59.6
"성별",여성,3009,41.1,58.9
"연령별",19~29세,1016,60.3,39.7
"연령별",30~39세,964,56.3,43.7
"연령별",40~49세,1123,44.4,55.6
"연령별",50~59세,1173,33.9,66.1
"연령별",60세 이상,1724,22.7,77.3
"학력별",중졸 이하,900,12,88
"학력별",고졸 고퇴,2136,29.2,70.8
"학력별",대재 이상,2964,57.7,42.3
"가구소득별",200만원 미만,715,18.9,81.1
"가구소득별",200~300만원미만,888,28.2,71.8
"가구소득별",300~400만원미만,1412,39.3,60.7
"가구소득별",400~500만원 미만,1521,46,54
"가구소득별",500만원 이상,1464,54.8,45.2
